State,race,tot_pop,tot_cit,tot_reg,pct_reg_tot,me_pct_reg_tot,pct_reg_cit,me_pct_reg_cit,tot_vote,pct_vote_tot,me_pct_vote_tot,pct_vote_cit,me_pct_vote_cit,year
ALABAMA,Hispanic (of any race),136,41,17,,,,,3,,,,,2014
ALABAMA,White alone or in combination,2660,2572,1746,65.6,2.7,67.9,2.7,1071,40.2,2.8,41.6,2.9,2014
ALABAMA,Black alone or in combination,937,925,604,64.5,5.6,65.3,5.7,414,44.2,5.9,44.8,5.9,2014
ALABAMA,Asian alone or in combination,51,23,17,,,,,9,,,,,2014
ALASKA,Total,521,503,336,64.6,2.5,66.8,2.5,255,49,2.6,50.7,2.7,2014
ALASKA,Male,264,256,168,63.8,3.5,65.7,3.5,128,48.4,3.7,49.9,3.7,2014
ALASKA,Female,257,247,168,65.4,3.5,68,3.5,127,49.6,3.7,51.5,3.8,2014
ALASKA,White alone,340,331,234,68.9,3,70.7,3,188,55.5,3.2,56.9,3.2,2014
ALASKA,White non-Hispanic alone,318,312,223,70.1,3.1,71.4,3,181,56.8,3.3,57.8,3.3,2014
ALASKA,Black alone,18,18,9,,,,,6,,,,,2014
ALASKA,Asian alone,28,21,8,,,,,7,,,,,2014
ALASKA,Hispanic (of any race),28,24,12,,,,,8,,,,,2014
ALASKA,White alone or in combination,360,350,245,68.2,2.9,70,2.9,196,54.6,3.1,56.1,3.2,2014
ALASKA,Black alone or in combination,21,20,11,,,,,8,,,,,2014
ALASKA,Asian alone or in combination,32,25,11,,,,,9,,,,,2014
ARIZONA,Total,4994,4397,2738,54.8,2.1,62.3,2.2,1785,35.7,2.1,40.6,2.2,2014
ARIZONA,Male,2423,2133,1309,54,3.1,61.4,3.2,823,34,2.9,38.6,3.2,2014
ARIZONA,Female,2571,2264,1430,55.6,3,63.1,3.1,961,37.4,2.9,42.5,3.1,2014
ARIZONA,White alone,4226,3742,2386,56.5,2.3,63.8,2.4,1583,37.5,2.3,42.3,2.4,2014
ARIZONA,White non-Hispanic alone,2743,2694,1757,64.1,2.8,65.2,2.8,1250,45.6,2.9,46.4,2.9,2014
ARIZONA,Black alone,215,199,120,55.9,12.4,60.3,12.7,66,30.8,11.5,33.1,12.2,2014
ARIZONA,Asian alone,189,98,39,20.4,11.2,39.3,18.8,20,10.6,8.6,20.3,15.5,2014
ARIZONA,Hispanic (of any race),1580,1145,687,43.5,5.9,60,6.9,364,23.1,5,31.8,6.5,2014
ARIZONA,White alone or in combination,4315,3827,2425,56.2,2.3,63.4,2.4,1614,37.4,2.2,42.2,2.4,2014
ARIZONA,Black alone or in combination,248,229,120,48.5,11.6,52.4,12.1,66,26.7,10.3,28.8,10.9,2014
ARIZONA,Asian alone or in combination,205,115,48,23.3,11.3,41.7,17.6,25,12,8.7,21.5,14.7,2014
ARKANSAS,Total,2189,2057,1292,59,2.5,62.8,2.6,798,36.5,2.5,38.8,2.6,2014
ARKANSAS,Male,1058,993,592,55.9,3.7,59.6,3.7,364,34.4,3.5,36.7,3.7,2014
ARKANSAS,Female,1131,1064,700,61.9,3.5,65.8,3.5,434,38.3,3.5,40.8,3.6,2014
ARKANSAS,White alone,1763,1680,1076,61,2.8,64,2.8,661,37.5,2.8,39.3,2.9,2014
ARKANSAS,White non-Hispanic alone,1645,1633,1058,64.3,2.8,64.8,2.8,647,39.3,2.9,39.6,2.9,2014
ARKANSAS,Black alone,307,303,184,60,8.1,60.7,8.1,116,37.7,8,38.2,8.1,2014
ARKANSAS,Asian alone,54,28,8,,,,,2,,,,,2014
ARKANSAS,Hispanic (of any race),136,55,20,,,,,14,,,,,2014
ARKANSAS,White alone or in combination,1795,1712,1087,60.6,2.8,63.5,2.8,670,37.3,2.7,39.1,2.8,2014
ARKANSAS,Black alone or in combination,311,307,184,59.3,8.1,60,8.1,116,37.3,8,37.7,8,2014
ARKANSAS,Asian alone or in combination,57,31,8,,,,,2,,,,,2014
CALIFORNIA,Total,29030,24455,14113,48.6,0.9,57.7,1,8949,30.8,0.8,36.6,0.9,2014
CALIFORNIA,Male,14156,11811,6622,46.8,1.3,56.1,1.4,4240,30,1.2,35.9,1.3,2014
CALIFORNIA,Female,14874,12645,7491,50.4,1.2,59.2,1.3,4708,31.7,1.2,37.2,1.3,2014
CALIFORNIA,White alone,21429,18060,10753,50.2,1,59.5,1.1,7093,33.1,1,39.3,1.1,2014
CALIFORNIA,White non-Hispanic alone,12326,11907,7830,63.5,1.3,65.8,1.3,5551,45,1.4,46.6,1.4,2014
CALIFORNIA,Black alone,1846,1787,1043,56.5,4.2,58.4,4.3,535,29,3.9,29.9,4,2014
CALIFORNIA,Asian alone,4409,3486,1628,36.9,2.8,46.7,3.2,933,21.2,2.4,26.8,2.9,2014
CALIFORNIA,Hispanic (of any race),10023,6859,3294,32.9,2.2,48,2.9,1707,17,1.8,24.9,2.5,2014
CALIFORNIA,White alone or in combination,21993,18565,11107,50.5,1,59.8,1.1,7252,33,1,39.1,1.1,2014
CALIFORNIA,Black alone or in combination,1997,1913,1134,56.8,4.1,59.3,4.1,570,28.5,3.7,29.8,3.8,2014
CALIFORNIA,Asian alone or in combination,4598,3660,1742,37.9,2.7,47.6,3.2,986,21.5,2.3,27,2.8,2014
COLORADO,Total,4009,3732,2654,66.2,2.3,71.1,2.3,2211,55.2,2.4,59.3,2.4,2014
COLORADO,Male,1979,1849,1288,65.1,3.3,69.7,3.2,1059,53.5,3.4,57.3,3.5,2014
COLORADO,Female,2030,1883,1366,67.3,3.2,72.5,3.1,1152,56.8,3.3,61.2,3.4,2014
COLORADO,White alone,3637,3427,2453,67.4,2.4,71.6,2.3,2085,57.3,2.5,60.8,2.5,2014
COLORADO,White non-Hispanic alone,3010,2965,2192,72.8,2.5,73.9,2.4,1888,62.7,2.7,63.7,2.7,2014
COLORADO,Black alone,147,132,75,51.2,15.2,57,15.8,56,38,14.7,42.3,15.8,2014
COLORADO,Asian alone,112,63,48,,,,,40,,,,,2014
COLORADO,Hispanic (of any race),701,534,321,45.8,9,60.1,10.1,218,31.1,8.4,40.9,10.2,2014
COLORADO,White alone or in combination,3688,3478,2498,67.7,2.3,71.8,2.3,2105,57.1,2.5,60.5,2.5,2014
COLORADO,Black alone or in combination,157,142,78,49.9,14.7,55.1,15.3,57,36.5,14.1,40.4,15.1,2014
COLORADO,Asian alone or in combination,138,88,74,53.3,16.3,83.1,15.3,48,35,15.6,54.6,20.3,2014
CONNECTICUT,Total,2783,2560,1668,59.9,2.4,65.1,2.5,1195,43,2.5,46.7,2.6,2014
CONNECTICUT,Male,1333,1217,765,57.4,3.6,62.9,3.6,588,44.1,3.6,48.3,3.8,2014
CONNECTICUT,Female,1450,1343,903,62.3,3.4,67.2,3.4,607,41.9,3.4,45.2,3.6,2014
CONNECTICUT,White alone,2344,2198,1475,62.9,2.6,67.1,2.6,1065,45.4,2.7,48.4,2.8,2014
CONNECTICUT,White non-Hispanic alone,2076,2014,1374,66.2,2.7,68.2,2.7,1009,48.6,2.9,50.1,2.9,2014
CONNECTICUT,Black alone,291,246,121,41.7,9.2,49.2,10.2,83,28.4,8.4,33.5,9.6,2014
CONNECTICUT,Asian alone,101,72,40,,,,,28,,,,,2014
CONNECTICUT,Hispanic (of any race),319,220,116,36.3,11.2,52.6,13.9,68,21.3,9.5,30.8,12.9,2014
CONNECTICUT,White alone or in combination,2376,2231,1502,63.2,2.6,67.4,2.6,1083,45.6,2.7,48.5,2.8,2014
CONNECTICUT,Black alone or in combination,305,261,131,42.8,9,50.1,9.9,86,28.1,8.2,32.9,9.3,2014
CONNECTICUT,Asian alone or in combination,101,72,40,,,,,28,,,,,2014
DELAWARE,Total,712,661,442,62,2.4,66.8,2.5,299,42,2.5,45.2,2.6,2014
DELAWARE,Male,337,311,206,61.2,3.6,66.2,3.6,139,41.2,3.6,44.6,3.8,2014
DELAWARE,Female,375,350,236,62.8,3.4,67.3,3.4,160,42.7,3.4,45.7,3.6,2014
DELAWARE,White alone,510,484,336,65.9,2.8,69.4,2.8,229,44.9,3,47.2,3.1,2014
DELAWARE,White non-Hispanic alone,471,465,326,69.3,2.9,70.2,2.9,224,47.7,3.1,48.3,3.1,2014
DELAWARE,Black alone,147,138,91,61.9,6.5,66.1,6.6,59,40.3,6.6,43,6.9,2014
DELAWARE,Asian alone,32,20,4,,,,,3,,,,,2014
DELAWARE,Hispanic (of any race),56,31,14,,,,,5,,,,,2014
DELAWARE,White alone or in combination,523,496,344,65.7,2.8,69.2,2.8,234,44.7,2.9,47.2,3,2014
DELAWARE,Black alone or in combination,157,146,98,62.4,6.3,67,6.4,64,40.7,6.4,43.7,6.7,2014
DELAWARE,Asian alone or in combination,33,20,5,,,,,3,,,,,2014
DISTRICT OF COLUMBIA,Total,538,480,353,65.6,2.4,73.5,2.4,247,45.8,2.6,51.4,2.7,2014
DISTRICT OF COLUMBIA,Male,249,219,165,66.2,3.6,75.3,3.5,118,47.1,3.8,53.6,4,2014
DISTRICT OF COLUMBIA,Female,289,261,188,65.1,3.3,71.9,3.3,129,44.8,3.5,49.5,3.7,2014
DISTRICT OF COLUMBIA,White alone,251,220,176,70.1,3.4,79.7,3.2,123,49.1,3.8,55.8,4,2014
DISTRICT OF COLUMBIA,White non-Hispanic alone,213,202,162,76.3,3.5,80.6,3.3,113,53.3,4.1,56.2,4.2,2014
DISTRICT OF COLUMBIA,Black alone,248,235,164,66.1,4.3,69.7,4.3,114,46.1,4.6,48.6,4.7,2014
DISTRICT OF COLUMBIA,Asian alone,21,10,5,,,,,2,,,,,2014
DISTRICT OF COLUMBIA,Hispanic (of any race),53,28,19,,,,,13,,,,,2014
DISTRICT OF COLUMBIA,White alone or in combination,262,231,182,69.7,3.4,79,3.2,128,48.9,3.7,55.4,3.9,2014
DISTRICT OF COLUMBIA,Black alone or in combination,259,244,169,65.3,4.3,69.3,4.3,119,45.9,4.5,48.8,4.6,2014
DISTRICT OF COLUMBIA,Asian alone or in combination,25,13,7,,,,,3,,,,,2014
FLORIDA,Total,15414,13879,8691,56.4,1.2,62.6,1.2,6220,40.4,1.2,44.8,1.3,2014
FLORIDA,Male,7335,6551,4008,54.6,1.7,61.2,1.8,2840,38.7,1.7,43.4,1.8,2014
FLORIDA,Female,8079,7327,4683,58,1.6,63.9,1.7,3380,41.8,1.6,46.1,1.7,2014
FLORIDA,White alone,12507,11266,7010,56.1,1.3,62.2,1.4,5071,40.6,1.3,45,1.4,2014
FLORIDA,White non-Hispanic alone,9134,8922,5596,61.3,1.5,62.7,1.5,4237,46.4,1.6,47.5,1.6,2014
FLORIDA,Black alone,2331,2112,1358,58.2,3.7,64.3,3.8,929,39.8,3.6,44,3.9,2014
FLORIDA,Asian alone,374,299,184,49,9.7,61.5,10.6,128,34.3,9.2,43,10.8,2014
FLORIDA,Hispanic (of any race),3530,2480,1493,42.3,3.9,60.2,4.6,892,25.3,3.4,36,4.5,2014
FLORIDA,White alone or in combination,12646,11406,7101,56.2,1.3,62.3,1.3,5127,40.5,1.3,45,1.4,2014
FLORIDA,Black alone or in combination,2401,2182,1386,57.7,3.6,63.5,3.7,948,39.5,3.6,43.5,3.8,2014
FLORIDA,Asian alone or in combination,407,331,206,50.5,9.3,62.1,10,143,35.2,8.9,43.2,10.2,2014
GEORGIA,Total,7306,6759,4306,58.9,1.7,63.7,1.8,2919,40,1.7,43.2,1.8,2014
GEORGIA,Male,3458,3143,1959,56.7,2.5,62.3,2.6,1297,37.5,2.5,41.3,2.7,2014
GEORGIA,Female,3848,3616,2347,61,2.4,64.9,2.4,1622,42.2,2.4,44.9,2.5,2014
GEORGIA,White alone,4569,4236,2764,60.5,2.2,65.3,2.2,1866,40.8,2.2,44,2.3,2014
GEORGIA,White non-Hispanic alone,4142,4097,2708,65.4,2.2,66.1,2.2,1835,44.3,2.3,44.8,2.3,2014
GEORGIA,Black alone,2199,2150,1339,60.9,3.8,62.3,3.8,925,42.1,3.9,43,3.9,2014
GEORGIA,Asian alone,388,242,108,27.7,8.7,44.5,12.2,62,16,7.1,25.7,10.7,2014
GEORGIA,Hispanic (of any race),508,207,99,19.6,8.4,48.1,16.5,62,12.1,6.9,29.8,15.1,2014
GEORGIA,White alone or in combination,4655,4317,2826,60.7,2.2,65.4,2.2,1901,40.8,2.2,44,2.3,2014
GEORGIA,Black alone or in combination,2272,2224,1385,61,3.7,62.3,3.8,968,42.6,3.8,43.5,3.8,2014
GEORGIA,Asian alone or in combination,413,267,133,32.1,8.8,49.7,11.7,71,17.1,7.1,26.5,10.3,2014
HAWAII,Total,1035,956,490,47.4,2.5,51.3,2.6,399,38.6,2.4,41.8,2.6,2014
HAWAII,Male,502,475,243,48.4,3.6,51.2,3.7,197,39.2,3.5,41.4,3.6,2014
HAWAII,Female,533,481,247,46.4,3.5,51.4,3.7,202,38,3.4,42.1,3.6,2014
HAWAII,White alone,228,217,117,51.6,5.3,54.2,5.5,95,41.8,5.3,44,5.4,2014
HAWAII,White non-Hispanic alone,211,201,110,52.1,5.5,54.6,5.7,91,43,5.5,45.1,5.7,2014
HAWAII,Black alone,19,18,8,,,,,7,,,,,2014
HAWAII,Asian alone,482,428,228,47.2,4.6,53.2,4.9,196,40.6,4.6,45.8,4.9,2014
HAWAII,Hispanic (of any race),64,62,31,,,,,21,,,,,2014
HAWAII,White alone or in combination,352,340,189,53.7,4.3,55.5,4.3,146,41.3,4.2,42.8,4.3,2014
HAWAII,Black alone or in combination,26,25,10,,,,,7,,,,,2014
HAWAII,Asian alone or in combination,605,550,297,49.1,4.1,54.1,4.3,243,40.1,4.1,44.2,4.3,2014
IDAHO,Total,1182,1105,671,56.8,2.6,60.7,2.6,462,39.1,2.5,41.8,2.6,2014
IDAHO,Male,585,535,312,53.3,3.7,58.2,3.8,213,36.5,3.5,39.9,3.8,2014
IDAHO,Female,597,569,359,60.1,3.6,63.1,3.6,248,41.6,3.6,43.6,3.7,2014
IDAHO,White alone,1110,1044,648,58.4,2.6,62.1,2.7,452,40.7,2.6,43.3,2.7,2014
IDAHO,White non-Hispanic alone,963,951,625,64.9,2.7,65.8,2.7,435,45.2,2.8,45.8,2.9,2014
IDAHO,Black alone,10,10,1,,,,,,,,,,2014
IDAHO,Asian alone,20,12,4,,,,,2,,,,,2014
IDAHO,Hispanic (of any race),153,96,23,15.1,8.1,24,12.2,17,11.1,7.1,17.6,10.8,2014
IDAHO,White alone or in combination,1127,1060,658,58.4,2.6,62.1,2.6,458,40.7,2.6,43.2,2.7,2014
IDAHO,Black alone or in combination,15,15,3,,,,,,,,,,2014
IDAHO,Asian alone or in combination,22,14,7,,,,,2,,,,,2014
ILLINOIS,Total,9757,8951,5716,58.6,1.5,63.9,1.5,3734,38.3,1.5,41.7,1.6,2014
ILLINOIS,Male,4714,4239,2574,54.6,2.2,60.7,2.3,1730,36.7,2.1,40.8,2.3,2014
ILLINOIS,Female,5042,4712,3142,62.3,2.1,66.7,2.1,2004,39.7,2.1,42.5,2.2,2014
ILLINOIS,White alone,7648,7097,4673,61.1,1.7,65.9,1.7,3070,40.1,1.7,43.3,1.8,2014
ILLINOIS,White non-Hispanic alone,6382,6237,4269,66.9,1.8,68.4,1.8,2857,44.8,1.9,45.8,1.9,2014
ILLINOIS,Black alone,1348,1329,768,57,4.9,57.8,5,535,39.7,4.9,40.2,4.9,2014
ILLINOIS,Asian alone,616,396,167,27.1,6.8,42.2,9.5,73,11.9,5,18.5,7.5,2014
ILLINOIS,Hispanic (of any race),1316,892,410,31.1,6.1,45.9,7.9,218,16.6,4.9,24.4,6.8,2014
ILLINOIS,White alone or in combination,7739,7176,4743,61.3,1.7,66.1,1.7,3102,40.1,1.7,43.2,1.8,2014
ILLINOIS,Black alone or in combination,1387,1368,801,57.7,4.9,58.6,4.9,558,40.2,4.8,40.8,4.9,2014
ILLINOIS,Asian alone or in combination,659,427,192,29.2,6.8,45,9.2,78,11.8,4.8,18.2,7.1,2014
INDIANA,Total,4913,4693,3048,62,2.1,64.9,2.1,1646,33.5,2,35.1,2.1,2014
INDIANA,Male,2357,2244,1426,60.5,3,63.5,3,795,33.7,2.9,35.4,3,2014
INDIANA,Female,2556,2449,1622,63.5,2.9,66.2,2.9,850,33.3,2.8,34.7,2.9,2014
INDIANA,White alone,4365,4212,2788,63.9,2.2,66.2,2.2,1498,34.3,2.2,35.6,2.2,2014
INDIANA,White non-Hispanic alone,4062,4042,2715,66.8,2.2,67.2,2.2,1463,36,2.3,36.2,2.3,2014
INDIANA,Black alone,395,385,226,57.4,9,58.8,9.1,143,36.4,8.8,37.3,8.9,2014
INDIANA,Asian alone,95,38,4,,,,,,,,,,2014
INDIANA,Hispanic (of any race),314,180,78,24.8,11.5,43.1,17.4,35,11.2,8.4,19.4,13.9,2014
INDIANA,White alone or in combination,4395,4242,2801,63.7,2.2,66,2.2,1502,34.2,2.1,35.4,2.2,2014
INDIANA,Black alone or in combination,420,410,240,57.1,8.8,58.4,8.8,147,35.1,8.5,35.9,8.6,2014
INDIANA,Asian alone or in combination,99,42,4,,,,,,,,,,2014
IOWA,Total,2336,2275,1584,67.8,2.4,69.6,2.4,1203,51.5,2.6,52.9,2.6,2014
IOWA,Male,1154,1120,755,65.4,3.5,67.4,3.5,569,49.3,3.6,50.8,3.7,2014
IOWA,Female,1182,1155,829,70.2,3.3,71.8,3.3,634,53.7,3.6,54.9,3.6,2014
IOWA,White alone,2171,2146,1515,69.8,2.4,70.6,2.4,1154,53.1,2.7,53.7,2.7,2014
IOWA,White non-Hispanic alone,2099,2096,1496,71.3,2.4,71.4,2.4,1143,54.5,2.7,54.5,2.7,2014
IOWA,Black alone,69,61,31,,,,,20,,,,,2014
IOWA,Asian alone,54,33,17,,,,,12,,,,,2014
IOWA,Hispanic (of any race),81,52,21,,,,,11,,,,,2014
IOWA,White alone or in combination,2197,2169,1532,69.7,2.4,70.6,2.4,1167,53.1,2.6,53.8,2.7,2014
IOWA,Black alone or in combination,84,75,38,45,16.3,50.1,17.3,22,26.9,14.5,29.9,15.9,2014
IOWA,Asian alone or in combination,60,39,21,,,,,16,,,,,2014
KANSAS,Total,2125,1993,1353,63.7,2.6,67.9,2.6,962,45.3,2.7,48.3,2.8,2014
KANSAS,Male,1037,956,635,61.2,3.8,66.4,3.9,453,43.7,3.9,47.4,4.1,2014
KANSAS,Female,1088,1037,718,66,3.6,69.2,3.6,509,46.8,3.8,49.1,3.9,2014
KANSAS,White alone,1853,1770,1220,65.8,2.8,68.9,2.8,873,47.1,2.9,49.3,3,2014
KANSAS,White non-Hispanic alone,1673,1671,1170,69.9,2.8,70,2.8,838,50.1,3.1,50.1,3.1,2014
KANSAS,Black alone,129,122,73,56.3,13.3,59.8,13.6,53,40.8,13.2,43.3,13.7,2014
KANSAS,Asian alone,76,45,30,,,,,22,,,,,2014
KANSAS,Hispanic (of any race),216,125,70,32.4,12.6,55.8,17.6,44,20.5,10.9,35.3,17,2014
KANSAS,White alone or in combination,1892,1799,1234,65.3,2.8,68.6,2.8,879,46.5,2.9,48.9,3,2014
KANSAS,Black alone or in combination,139,131,75,53.7,12.9,56.8,13.2,54,39.2,12.7,41.5,13.2,2014
KANSAS,Asian alone or in combination,84,53,34,,,,,25,,,,,2014
KENTUCKY,Total,3323,3207,2298,69.2,2.4,71.6,2.4,1525,45.9,2.6,47.5,2.7,2014
KENTUCKY,Male,1597,1532,1091,68.3,3.5,71.2,3.5,754,47.2,3.8,49.2,3.9,2014
KENTUCKY,Female,1725,1675,1207,70,3.3,72.1,3.3,770,44.6,3.6,46,3.7,2014
KENTUCKY,White alone,2943,2870,2059,70,2.6,71.8,2.5,1367,46.4,2.8,47.6,2.8,2014
KENTUCKY,White non-Hispanic alone,2842,2821,2031,71.5,2.6,72,2.6,1349,47.5,2.8,47.8,2.8,2014
KENTUCKY,Black alone,271,263,184,67.7,10.4,70,10.4,117,43.2,11,44.7,11.2,2014
KENTUCKY,Asian alone,53,26,23,,,,,23,,,,,2014
KENTUCKY,Hispanic (of any race),113,55,34,,,,,23,,,,,2014
KENTUCKY,White alone or in combination,2985,2912,2089,70,2.5,71.7,2.5,1382,46.3,2.8,47.5,2.8,2014
KENTUCKY,Black alone or in combination,295,286,198,66.9,10,69,10,123,41.6,10.5,42.9,10.7,2014
KENTUCKY,Asian alone or in combination,53,26,23,,,,,23,,,,,2014
LOUISIANA,Total,3450,3342,2398,69.5,2.3,71.7,2.3,1677,48.6,2.5,50.2,2.5,2014
LOUISIANA,Male,1645,1583,1108,67.3,3.3,70,3.3,768,46.7,3.6,48.5,3.6,2014
LOUISIANA,Female,1805,1759,1290,71.5,3.1,73.4,3,908,50.3,3.4,51.7,3.4,2014
LOUISIANA,White alone,2250,2170,1596,70.9,2.8,73.5,2.7,1094,48.6,3,50.4,3.1,2014
LOUISIANA,White non-Hispanic alone,2094,2080,1543,73.7,2.8,74.2,2.8,1065,50.8,3.2,51.2,3.2,2014
LOUISIANA,Black alone,1042,1034,729,70,5,70.5,5,533,51.2,5.4,51.6,5.4,2014
LOUISIANA,Asian alone,82,62,24,,,,,13,,,,,2014
LOUISIANA,Hispanic (of any race),165,100,57,34.4,16.8,56.7,22.5,31,19,13.9,31.3,21,2014
LOUISIANA,White alone or in combination,2280,2200,1616,70.9,2.8,73.4,2.7,1109,48.7,3,50.4,3.1,2014
LOUISIANA,Black alone or in combination,1072,1063,752,70.2,4.9,70.7,4.9,552,51.5,5.3,51.9,5.4,2014
LOUISIANA,Asian alone or in combination,85,64,24,,,,,13,,,,,2014
MAINE,Total,1061,1045,799,75.4,2.4,76.5,2.4,642,60.5,2.7,61.5,2.7,2014
MAINE,Male,512,503,373,73,3.6,74.2,3.6,302,59,4,60,4,2014
MAINE,Female,549,541,426,77.6,3.2,78.7,3.2,340,61.9,3.8,62.8,3.8,2014
MAINE,White alone,1009,1002,771,76.4,2.4,76.9,2.4,616,61.1,2.8,61.5,2.8,2014
MAINE,White non-Hispanic alone,999,992,766,76.7,2.4,77.3,2.4,613,61.4,2.8,61.8,2.8,2014
MAINE,Black alone,9,7,5,,,,,3,,,,,2014
MAINE,Asian alone,11,3,2,,,,,2,,,,,2014
MAINE,Hispanic (of any race),10,10,4,,,,,3,,,,,2014
MAINE,White alone or in combination,1036,1029,790,76.2,2.4,76.7,2.4,635,61.3,2.8,61.7,2.8,2014
MAINE,Black alone or in combination,19,17,11,,,,,10,,,,,2014
MAINE,Asian alone or in combination,13,5,3,,,,,3,,,,,2014
MARYLAND,Total,4542,4148,2995,65.9,2.2,72.2,2.1,2028,44.7,2.3,48.9,2.4,2014
MARYLAND,Male,2135,1947,1378,64.6,3.2,70.8,3.2,938,43.9,3.3,48.2,3.5,2014
MARYLAND,Female,2407,2201,1617,67.2,2.9,73.5,2.9,1090,45.3,3.1,49.6,3.3,2014
MARYLAND,White alone,2752,2613,1941,70.5,2.7,74.3,2.6,1345,48.9,2.9,51.5,3,2014
MARYLAND,White non-Hispanic alone,2508,2480,1857,74.1,2.7,74.9,2.7,1300,51.8,3.1,52.4,3.1,2014
MARYLAND,Black alone,1325,1208,856,64.6,4.9,70.8,4.8,581,43.8,5.1,48.1,5.3,2014
MARYLAND,Asian alone,343,231,135,39.4,10.2,58.4,12.5,69,20.2,8.4,30,11.7,2014
MARYLAND,Hispanic (of any race),332,189,120,36.1,12.7,63.6,16.9,58,17.5,10,30.8,16.2,2014
MARYLAND,White alone or in combination,2824,2659,1983,70.2,2.6,74.6,2.6,1363,48.2,2.9,51.2,3,2014
MARYLAND,Black alone or in combination,1353,1236,875,64.7,4.8,70.8,4.8,589,43.5,5,47.6,5.3,2014
MARYLAND,Asian alone or in combination,365,253,152,41.7,10,60.2,11.9,79,21.6,8.3,31.2,11.3,2014
MASSACHUSETTS,Total,5279,4815,3250,61.6,2,67.5,2,2259,42.8,2,46.9,2.1,2014
MASSACHUSETTS,Male,2504,2241,1485,59.3,2.9,66.3,3,1036,41.4,2.9,46.2,3.1,2014
MASSACHUSETTS,Female,2775,2574,1765,63.6,2.7,68.6,2.7,1223,44.1,2.8,47.5,2.9,2014
MASSACHUSETTS,White alone,4441,4205,2980,67.1,2.1,70.9,2.1,2117,47.7,2.2,50.4,2.3,2014
MASSACHUSETTS,White non-Hispanic alone,4113,3969,2860,69.5,2.1,72.1,2.1,2073,50.4,2.3,52.2,2.4,2014
MASSACHUSETTS,Black alone,408,310,141,34.6,8.5,45.4,10.2,80,19.6,7.1,25.7,9,2014
MASSACHUSETTS,Asian alone,325,214,85,26.2,9.2,39.8,12.6,37,11.5,6.7,17.4,9.8,2014
MASSACHUSETTS,Hispanic (of any race),462,312,155,33.6,10.3,49.7,13.3,53,11.5,7,17,10,2014
MASSACHUSETTS,White alone or in combination,4513,4268,3013,66.8,2.1,70.6,2.1,2137,47.3,2.2,50.1,2.3,2014
MASSACHUSETTS,Black alone or in combination,454,348,160,35.3,8.1,46,9.7,87,19.2,6.7,25,8.4,2014
MASSACHUSETTS,Asian alone or in combination,345,234,94,27.2,9,40.1,12.1,46,13.3,6.9,19.7,9.8,2014
MICHIGAN,Total,7576,7246,5159,68.1,1.6,71.2,1.6,3416,45.1,1.7,47.1,1.8,2014
MICHIGAN,Male,3615,3456,2397,66.3,2.4,69.4,2.4,1551,42.9,2.5,44.9,2.5,2014
MICHIGAN,Female,3961,3791,2762,69.7,2.2,72.9,2.2,1864,47.1,2.4,49.2,2.4,2014
MICHIGAN,White alone,6164,5965,4280,69.4,1.8,71.7,1.8,2875,46.6,1.9,48.2,1.9,2014
MICHIGAN,White non-Hispanic alone,5836,5720,4128,70.7,1.8,72.2,1.8,2808,48.1,2,49.1,2,2014
